Routing Layer,Description,Tline Type,Description Memory,Tline Type Memory,Thickness (um),EDW,Dielectric Constant,Loss Tangent
,S/M,None,S/M,None,13,,4,0.031
1,"BO, Power",MS,"BO, Power",MS,30,9.6,,
,PP,None,PP,None,60,,3.3,0.009
2,GND,GND/Power,GND,GND/Power,30,,,
,CORE,None,CORE,None,64,,3.7,0.009
3,"BO, Main Route, Power",DSL,"BO, Main Route",SL,30,9.6,,
,PP,None,PP,None,64,,3.3,0.009
4,"Main Route, Power",DSL,GND,GND/Power,30,9.6,,
,CORE,None,CORE,None,64,,3.7,0.009
5,GND,GND/Power,"BO, Main Route",SL,30,9.6,,
,PP,None,PP,None,64,,3.3,0.009
6,"Main Route, Power",SL,GND,GND/Power,30,9.6,,
,CORE,None,CORE,None,64,,3.7,0.009
7,GND,GND/Power,"Main Route, Power",SL,30,9.6,,
,PP,None,PP,None,64,,3.3,0.009
8,"BO, Main Route, Power",SL,GND,GND/Power,30,9.6,,
,CORE,None,CORE,None,64,,3.7,0.009
9,GND,GND/Power,"Main Route, Power",SL,30,9.6,,
,PP,None,PP,None,60,,3.3,0.009
10,"GND, Power, Main Route",MS,"GND, Power",GND/Power,30,9.6,,
,S/M,None,S/M,None,13,,4,0.031
