Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Intra-Pair (um),S - ES (um),S - Non-ES (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 5GHz),"K, S - ES (%)","K, S - Non-ES (%)"
B*,MS,"1, 10","CNVio2, CNVio3, Differential Clock (Gen3 and below support), PCIe Gen 1-3, Type-C AUX, Type-C USB, Type-C USB+DP, USB2.0",75,88,200,300,95,,,-0.93,-0.06,0.31
B*,MS,"1, 10",Differential Clock (Gen4 and Gen5 support),75,88,375,500,95,,,-0.93,-0.14,0.08
B*,MS,"1, 10","CSI DPHY, HDMI TCP, eDP",75,88,250,375,95,,,-0.93,-0.13,0.18
B*,MS,"1, 10",PCIe Gen 4,81,88,375,375,93,,,-0.92,-0.15,0.18
B*,MS,"1, 10",PCIe Gen 5,81,88,500,500,93,,,-0.92,-0.1,0.09
B*,MS,"1, 10","DP TCP, Type-C TBT+USB+DP",81,88,500,500,93,,,-0.92,-0.1,0.09
B*,MS,"1, 10",USB3.2,81,88,300,300,93,,,-0.92,-0.17,0.32
B*,SL,"6, 8","CNVio2, CNVio3, Differential Clock (Gen3 and below support), PCIe Gen 1-3, Type-C USB, Type-C USB+DP, USB2.0",75,88,200,300,78,,,-0.83,0.19,0.03
B*,SL,"6, 8",Differential Clock (Gen4 and Gen5 support),75,88,375,500,78,,,-0.83,0.006,0.001
B*,SL,"6, 8","CSI DPHY, HDMI TCP, Type-C AUX, eDP",75,88,88,300,78,,,-0.83,1.73,0.03
B*,SL,"6, 8","PCIe Gen 4, PCIe Gen 5",75,88,230,500,78,,,-0.83,0.11,0.001
B*,SL,"6, 8","DP TCP, Type-C TBT+USB+DP",75,88,375,375,78,,,-0.83,0.006,0.006
B*,SL,"6, 8",USB3.2,75,88,300,300,78,,,-0.83,0.03,0.03
B*,DSL,3,"Differential Clock (Gen3 and below support), PCIe Gen 1-3, Type-C USB, Type-C USB+DP, USB2.0",75,88,200,300,87,,,-0.75,0.59,0.16
B*,DSL,3,Differential Clock (Gen4 and Gen5 support),75,88,375,500,87,,,-0.75,0.06,0.013
B*,DSL,3,"CSI DPHY, HDMI TCP, Type-C AUX, eDP",75,88,88,300,87,,,-0.76,2.67,0.16
B*,DSL,3,PCIe Gen 4,75,88,375,375,87,,,-0.75,0.06,0.06
B*,DSL,3,PCIe Gen 5,75,88,500,500,87,,,-0.75,0.013,0.013
B*,DSL,3,"DP TCP, Type-C TBT+USB+DP",75,88,375,375,87,,,-0.75,0.06,0.06
B*,DSL,3,USB3.2,75,88,300,300,87,,,-0.75,0.16,0.16
M*,MS,"1, 10","CNVio2, CSI DPHY, PCIe Gen 1-3, Type-C AUX, Type-C USB, Type-C USB+DP, USB2.0",120,90,300,300,80,,,-0.86,-0.25,0.35
M*,MS,"1, 10",Differential Clock (Gen3 and below support),120,90,300,375,80,,,-0.86,-0.25,0.21
M*,MS,"1, 10",Differential Clock (Gen4 and Gen5 support),120,90,500,760,80,,,-0.86,-0.14,0.04
M*,MS,"1, 10","HDMI TCP, PCIe Gen 4, eDP",120,90,500,500,80,,,-0.86,-0.14,0.11
M*,MS,"1, 10",PCIe Gen 5,135,125,800,800,80,,,-0.81,-0.071,0.05
M*,MS,"1, 10","DP TCP, Type-C TBT+USB+DP",120,90,500,500,80,,,-0.86,-0.14,0.11
M*,MS,"1, 10",USB3.2,120,90,750,500,80,,,-0.86,-0.07,0.11
M*,SL,"6, 8","CNVio2, CSI DPHY, HDMI TCP, PCIe Gen 1-3, Type-C AUX, Type-C USB, Type-C USB+DP, USB2.0, eDP",80,130,300,300,80,,,-0.8,0.03,0.03
M*,SL,"6, 8",Differential Clock (Gen3 and below support),80,130,300,375,80,,,-0.8,0.03,0.01
M*,SL,"6, 8",Differential Clock (Gen4 and Gen5 support),80,130,500,760,80,,,-0.8,0.001,0
M*,SL,"6, 8","PCIe Gen 4, PCIe Gen 5",80,130,230,500,80,,,-0.8,0.11,0.001
M*,SL,"6, 8","DP TCP, Type-C TBT+USB+DP",80,130,375,375,80,,,-0.8,0.01,0.01
M*,SL,"6, 8",USB3.2,80,130,450,500,80,,,-0.8,0.002,0.001
M*,DSL,"3, 4","CSI DPHY, HDMI TCP, PCIe Gen 1-3, Type-C AUX, Type-C USB, Type-C USB+DP, USB2.0, eDP",100,120,300,300,80,,,-0.71,0.16,0.16
M*,DSL,"3, 4",Differential Clock (Gen3 and below support),100,120,300,375,80,,,-0.71,0.16,0.06
M*,DSL,"3, 4",Differential Clock (Gen4 and Gen5 support),100,120,500,760,80,,,-0.71,0.013,0.001
M*,DSL,"3, 4",PCIe Gen 4,100,120,375,375,80,,,-0.71,0.06,0.06
M*,DSL,"3, 4",PCIe Gen 5,100,120,500,500,80,,,-0.71,0.013,0.013
M*,DSL,"3, 4","DP TCP, Type-C TBT+USB+DP",100,120,375,375,80,,,-0.71,0.06,0.06
M*,DSL,"3, 4",USB3.2,100,120,450,500,80,,,-0.71,0.024,0.013
M*,SL,"6, 8",CSI CPHY,82,170,170,500,80,,,-0.8,0.351,0.001
B*,MS,"1, 10",CSI CPHY,81,88,88,375,91,,,-0.95,0.692,0.181
B*,SL,"6, 8",CSI CPHY,75,88,88,300,78,,,-0.83,1.73,0.03
M*,MS,"1, 10",CNVio3,120,90,375,750,80,,,-0.92,-0.2,0.04
M*,SL,"6, 8",CNVio3,80,130,375,750,80,,,-1.03,0.002,0
